name,content,date_created,id,author,contentJson,num_retweets,in_reply_to_screen_name,type,lang,query_candidate,source_file,rt_source,rt_source_id,is_retweet,is_reply_or_mention,cleaned_content,topic_content,author_followers,author_friends,author_statuses,author_created_at
khansa_lily,@Melihat_Indo @ganjarpranowo Langkah Pak Ganjar untuk mendirikan posko untuk pendistribusian pupuk merupakan langkah yang tepat untuk mengatasi kelangkaan pupuk yang selama ini menjadi keluhan para petani,2024-01-04 17:59:59+00:00,tw-1742969138040168673,"{""created_at"":""2023-10-21T19:32:46Z"",""name"":""Lily Khansa"",""scr_name"":""khansa_lily"",""frn_cnt"":8,""loc"":"""",""image"":""https://pbs.twimg.com/profile_images/1715813398074814464/xBJ3bAwo_normal.png"",""flw_cnt"":6,""sts_cnt"":564,""lst_cnt"":0,""username"":""khansa_lily"",""id"":""1715813248463949824""}","{""entities"":{""hashtags"":[]},""reply_cnt"":0,""rt_cnt"":0,""source"":null,""quote_cnt"":0,""url"":""https://twitter.com/khansa_lily/status/1742969138040168673"",""user"":{""created_at"":""2023-10-21T19:32:46Z"",""loc"":"""",""frn_cnt"":8,""scr_name"":""khansa_lily"",""name"":""Lily Khansa"",""sts_cnt"":564,""flw_cnt"":6,""image"":""https://pbs.twimg.com/profile_images/1715813398074814464/xBJ3bAwo_normal.png"",""lst_cnt"":0,""id"":""1715813248463949824"",""username"":""khansa_lily""},""view_cnt"":7,""fav_cnt"":1,""bookmark_cnt"":0}",0,Melihat_Indo,twit,id,ganjar,data-twit-ganjar.json,,,False,True,@Melihat_Indo @ganjarpranowo Langkah Pak Ganjar untuk mendirikan posko untuk pendistribusian pupuk merupakan langkah yang tepat untuk mengatasi kelangkaan pupuk yang selama ini menjadi keluhan para petani,langkah pak ganjar untuk mendirikan posko untuk pendistribusian pupuk merupakan langkah yang tepat untuk mengatasi kelangkaan pupuk yang selama ini menjadi keluhan para petani,6,8,564,2023-10-21 19:32:46+00:00
KpellyD,"Ganjar Pranowo Idola RakyatÂ 

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera",2024-01-04 18:00:00+00:00,tw-1742969140225114272,"{""id"":""1116986477521657856"",""username"":""KpellyD"",""lst_cnt"":0,""sts_cnt"":242,""flw_cnt"":0,""image"":""https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"",""loc"":"""",""frn_cnt"":0,""scr_name"":""KpellyD"",""name"":""Kpelly dÃ©dÃ©"",""created_at"":""2019-04-13T08:48:23Z""}","{""user"":{""username"":""KpellyD"",""id"":""1116986477521657856"",""lst_cnt"":0,""image"":""https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"",""flw_cnt"":0,""sts_cnt"":242,""name"":""Kpelly dÃ©dÃ©"",""scr_name"":""KpellyD"",""frn_cnt"":0,""loc"":"""",""created_at"":""2019-04-13T08:48:23Z""},""url"":""https://twitter.com/KpellyD/status/1742969140225114272"",""fav_cnt"":0,""bookmark_cnt"":0,""view_cnt"":1,""reply_cnt"":0,""entities"":{""hashtags"":[]},""source"":null,""quote_cnt"":0,""rt_cnt"":0}",0,,twit,id,ganjar,data-twit-ganjar.json,,,False,False,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,ganjar pranowo idola rakyat ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 nelayan sejahtera,0,0,242,2019-04-13 08:48:23+00:00
SAGAIslamJateng,"Dalam atmosfer yang sarat dengan kebersamaan dan haru biru, mereka menyatukan hati dan pikiran untuk memohon kemenangan bagi pasangan calon presiden Ganjar-Mahfud dalam Pemilihan Presiden 2024.
#GanjarMahfud2024
#JawaTengah Jawa tengah Jateng https://t.co/zdjxKh6oT2",2024-01-04 18:00:01+00:00,tw-1742969144407122127,"{""created_at"":""2013-04-30T10:54:37Z"",""name"":""SAGA ISLAM PEDIA JAWA TENGAH"",""sts_cnt"":3113,""flw_cnt"":10439,""username"":""SAGAIslamJateng"",""id"":""1391758806"",""scr_name"":""SAGAIslamJateng"",""loc"":""Jawa Tengah"",""frn_cnt"":930,""image"":""https://pbs.twimg.com/profile_images/1711612396790538240/NszROWvR_normal.jpg"",""lst_cnt"":8}","{""entities"":{""hashtags"":[]},""rt_cnt"":0,""user"":{""lst_cnt"":8,""frn_cnt"":930,""image"":""https://pbs.twimg.com/profile_images/1711612396790538240/NszROWvR_normal.jpg"",""loc"":""Jawa Tengah"",""scr_name"":""SAGAIslamJateng"",""id"":""1391758806"",""username"":""SAGAIslamJateng"",""flw_cnt"":10439,""name"":""SAGA ISLAM PEDIA JAWA TENGAH"",""sts_cnt"":3113,""created_at"":""2013-04-30T10:54:37Z""},""url"":""https://twitter.com/SAGAIslamJateng/status/1742969144407122127"",""quote_cnt"":0,""fav_cnt"":0,""reply_cnt"":0,""source"":null}",0,,twit,id,ganjar,data-twit-ganjar.json,,,False,False,"Dalam atmosfer yang sarat dengan kebersamaan dan haru biru, mereka menyatukan hati dan pikiran untuk memohon kemenangan bagi pasangan calon presiden Ganjar-Mahfud dalam Pemilihan Presiden 2024. #GanjarMahfud2024 #JawaTengah Jawa tengah Jateng",dalam atmosfer yang sarat dengan kebersamaan dan haru biru mereka menyatukan hati dan pikiran untuk memohon kemenangan bagi pasangan calon presiden ganjar mahfud dalam pemilihan presiden 2024 ganjarmahfud2024 jawatengah jawa tengah jateng,10439,930,3113,2013-04-30 10:54:37+00:00
TPNGanjarMahfud,"TPD Ganjar-Mahfud Jabar Optimistis Menang 40 Persen Suara di Jawa Barat 
#GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #Indonesialebihbaik #GanjarMahfud2024 
https://t.co/ErNGWJfXA6",2024-01-04 18:00:01+00:00,tw-1742969144486826386,"{""id"":""39074801"",""scr_name"":""TPNGanjarMahfud"",""sts_cnt"":4804,""loc"":""Jakarta Capital Region"",""flw_cnt"":178517,""frn_cnt"":44,""image"":""https://pbs.twimg.com/profile_images/1714806603571167232/13WurFjp_normal.jpg"",""created_at"":""2009-05-10T16:52:20Z"",""name"":""TPN Ganjar Mahfud"",""lst_cnt"":165,""username"":""TPNGanjarMahfud""}","{""quote_cnt"":0,""user"":{""scr_name"":""TPNGanjarMahfud"",""id"":""39074801"",""frn_cnt"":44,""flw_cnt"":178517,""sts_cnt"":4804,""loc"":""Jakarta Capital Region"",""created_at"":""2009-05-10T16:52:20Z"",""image"":""https://pbs.twimg.com/profile_images/1714806603571167232/13WurFjp_normal.jpg"",""username"":""TPNGanjarMahfud"",""lst_cnt"":165,""name"":""TPN Ganjar Mahfud""},""view_cnt"":61,""entities"":{""hashtags"":[]},""rt_cnt"":3,""source"":null,""fav_cnt"":3,""reply_cnt"":0,""bookmark_cnt"":0,""url"":""https://twitter.com/TPNGanjarMahfud/status/1742969144486826386""}",3,,twit,id,ganjar,data-twit-ganjar.json,,,False,False,TPD Ganjar-Mahfud Jabar Optimistis Menang 40 Persen Suara di Jawa Barat #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #Indonesialebihbaik #GanjarMahfud2024,tpd ganjar mahfud jabar optimistis menang persen suara jawa barat ganjarmahfud ganjarpranowo gerakcepat mahfudmd indonesiaunggul indonesialebihbaik ganjarmahfud2024,178517,44,4804,2009-05-10 16:52:20+00:00
go83996201vinay,"Senyumin ajaÂ 

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti https://t.co/xkTXnDPm7c",2024-01-04 18:00:02+00:00,tw-1742969147359625601,"{""created_at"":""2021-05-18T06:13:42Z"",""frn_cnt"":146,""loc"":""Surakarta, Jawa Tengah"",""scr_name"":""go83996201vinay"",""name"":""Vinay Goswami"",""flw_cnt"":0,""sts_cnt"":833,""image"":""https://pbs.twimg.com/profile_images/1397750196440735745/gpsoWRP__normal.jpg"",""lst_cnt"":0,""id"":""1394536533781147648"",""username"":""go83996201vinay""}","{""source"":null,""quote_cnt"":0,""rt_cnt"":0,""reply_cnt"":0,""entities"":{""hashtags"":[]},""bookmark_cnt"":0,""fav_cnt"":0,""view_cnt"":3,""user"":{""lst_cnt"":0,""id"":""1394536533781147648"",""username"":""go83996201vinay"",""sts_cnt"":833,""flw_cnt"":0,""image"":""https://pbs.twimg.com/profile_images/1397750196440735745/gpsoWRP__normal.jpg"",""created_at"":""2021-05-18T06:13:42Z"",""loc"":""Surakarta, Jawa Tengah"",""frn_cnt"":146,""scr_name"":""go83996201vinay"",""name"":""Vinay Goswami""},""url"":""https://twitter.com/go83996201vinay/status/1742969147359625601""}",0,,twit,id,ganjar,data-twit-ganjar.json,,,False,False,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,senyumin aja ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 ktp sakti,0,146,833,2021-05-18 06:13:42+00:00
MuhammadAlgif01,"RT Cawapres nomor urut 3 Mahfud MD menyatakan ada pelanggaran etik yang dilakukan oleh oknum Satpol PP dengan menyatakan dukungan terhadap salah satu paslon secara terbuka. 

Download #MetroTVXtend di Play Store & App Store.

#metrotv #pemilu2024 #pilpres2024 #theelectionchannelmetrotv #mahfudmd #prabowogibran #satpolpp #viral #pelanggaranetik @mohmahfudmd @ganjarpranowo @prabowogibran02 @gibran_tweet @prabowo [RE Metro_TV]",2024-01-04 18:00:02+00:00,tw-1742969147380875506,"{""scr_name"":""MuhammadAlgif01"",""flw_cnt"":25,""frn_cnt"":52,""image"":""https://pbs.twimg.com/profile_images/1704430070818131968/vaO-0FXp_normal.png"",""lst_cnt"":0,""sts_cnt"":9302,""loc"":"""",""created_at"":""2023-09-20T09:39:30Z"",""username"":""MuhammadAlgif01"",""id"":""1704429118224564225"",""name"":""algifary muhammad""}","{""bookmark_cnt"":0,""fav_cnt"":17,""source"":null,""view_cnt"":2498,""url"":""https://pbs.twimg.com/ext_tw_video_thumb/1742806889837350912/pu/img/cIQRJxfXYJ7bfkVx.jpg"",""reply_cnt"":0,""rt_status"":{""id"":""1742807008565514606"",""screen_name"":""Metro_TV"",""user_id"":""57261519""},""rt_cnt"":5,""user"":{""name"":""algifary muhammad"",""id"":""1704429118224564225"",""username"":""MuhammadAlgif01"",""created_at"":""2023-09-20T09:39:30Z"",""loc"":"""",""sts_cnt"":9302,""image"":""https://pbs.twimg.com/profile_images/1704430070818131968/vaO-0FXp_normal.png"",""lst_cnt"":0,""frn_cnt"":52,""flw_cnt"":25,""scr_name"":""MuhammadAlgif01""},""entities"":{""hashtags"":[],""media"":[{""type"":""video"",""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1742806889837350912/pu/img/cIQRJxfXYJ7bfkVx.jpg""}]},""quote_cnt"":0}",5,Metro_TV,twit,id,prabowo,data-twit-prabowo.json,Metro_TV,1742807008565514606,True,True,Cawapres nomor urut 3 Mahfud MD menyatakan ada pelanggaran etik yang dilakukan oleh oknum Satpol PP dengan menyatakan dukungan terhadap salah satu paslon secara terbuka. Download #MetroTVXtend di Play Store & App Store. #metrotv #pemilu2024 #pilpres2024 #theelectionchannelmetrotv #mahfudmd #prabowogibran #satpolpp #viral #pelanggaranetik @mohmahfudmd @ganjarpranowo @prabowogibran02 @gibran_tweet @prabowo,cawapres nomor urut mahfud menyatakan ada pelanggaran etik yang dilakukan oleh oknum satpol dengan menyatakan dukungan terhadap salah satu paslon secara terbuka download metrotvxtend play store app store metrotv pemilu2024 pilpres2024 theelectionchannelmetrotv mahfudmd prabowogibran satpolpp viral pelanggaranetik,25,52,9302,2023-09-20 09:39:30+00:00
NowFavorit,"RT *Inilah pidato Anies Baswedan yg jarang diviralkan* ð¤²ð. *BenarÂ² pidato manusia waras.*

Seorang sosok negarawan yg berfihak kepada rakyat ð
#AMINAjaDulu ð®ð© https://t.co/BZVkmACEur [RE 21_mozza]",2024-01-04 18:00:03+00:00,tw-1742969150870540296,"{""image"":""https://pbs.twimg.com/profile_images/1606899041115467776/G7ehN9k__normal.jpg"",""sts_cnt"":17222,""name"":""Maniese"",""loc"":"""",""id"":""1606893464914100225"",""flw_cnt"":157,""scr_name"":""NowFavorit"",""username"":""NowFavorit"",""frn_cnt"":118,""lst_cnt"":0,""created_at"":""2022-12-25T06:04:13Z""}","{""entities"":{""hashtags"":[],""media"":[{""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1742720798350286848/pu/img/qOIrAYdGKazppHtC.jpg"",""type"":""video""}]},""source"":null,""reply_cnt"":35,""bookmark_cnt"":65,""rt_status"":{""user_id"":""1657682046016454664"",""screen_name"":""21_mozza"",""id"":""1742722427296395398""},""view_cnt"":29758,""fav_cnt"":2370,""url"":""https://pbs.twimg.com/ext_tw_video_thumb/1742720798350286848/pu/img/qOIrAYdGKazppHtC.jpg"",""user"":{""created_at"":""2022-12-25T06:04:13Z"",""frn_cnt"":118,""lst_cnt"":0,""id"":""1606893464914100225"",""flw_cnt"":157,""scr_name"":""NowFavorit"",""username"":""NowFavorit"",""sts_cnt"":17222,""image"":""https://pbs.twimg.com/profile_images/1606899041115467776/G7ehN9k__normal.jpg"",""name"":""Maniese"",""loc"":""""},""rt_cnt"":1676,""quote_cnt"":32}",1676,21_mozza,twit,id,anies,data-twit-anies.json,21_mozza,1742722427296395398,True,True,*Inilah pidato Anies Baswedan yg jarang diviralkan* ð¤²ð. *BenarÂ² pidato manusia waras.* Seorang sosok negarawan yg berfihak kepada rakyat ð #AMINAjaDulu ð®ð©,inilah pidato anies baswedan jarang diviralkan benar pidato manusia waras seorang sosok negarawan berfihak kepada rakyat aminajadulu,157,118,17222,2022-12-25 06:04:13+00:00
nafsmut,RT Salah satu karya anies yg tak banyak orang tahu.. https://t.co/I5jIR0vKnx [RE Japsathub],2024-01-04 18:00:04+00:00,tw-1742969158923608176,"{""created_at"":""2017-12-01T10:34:18Z"",""frn_cnt"":377,""lst_cnt"":4,""id"":""936543975619489792"",""flw_cnt"":257,""scr_name"":""nafsmut"",""username"":""nafsmut"",""sts_cnt"":138693,""image"":""https://pbs.twimg.com/profile_images/1667399297317621761/h-RKGGEw_normal.jpg"",""loc"":"""",""name"":""Nafs""}","{""entities"":{""media"":[{""type"":""video"",""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1742687056789487616/pu/img/MD-Zu1IxGIN4sA63.jpg""}],""hashtags"":[]},""source"":null,""reply_cnt"":172,""rt_status"":{""user_id"":""2514152250"",""screen_name"":""Japsathub"",""id"":""1742687192999444982""},""bookmark_cnt"":929,""view_cnt"":633709,""fav_cnt"":10856,""url"":""https://pbs.twimg.com/ext_tw_video_thumb/1742687056789487616/pu/img/MD-Zu1IxGIN4sA63.jpg"",""user"":{""sts_cnt"":138693,""image"":""https://pbs.twimg.com/profile_images/1667399297317621761/h-RKGGEw_normal.jpg"",""name"":""Nafs"",""loc"":"""",""scr_name"":""nafsmut"",""username"":""nafsmut"",""id"":""936543975619489792"",""flw_cnt"":257,""frn_cnt"":377,""lst_cnt"":4,""created_at"":""2017-12-01T10:34:18Z""},""rt_cnt"":3308,""quote_cnt"":170}",3308,Japsathub,twit,id,anies,data-twit-anies.json,Japsathub,1742687192999444982,True,True,Salah satu karya anies yg tak banyak orang tahu..,salah satu karya anies tak banyak orang tahu,257,377,138693,2017-12-01 10:34:18+00:00
kuytueiei1,"ð®  Keakraban Ganjar Pranowo dengan keluarganya menciptakan atmosfer positif d kepemimpinannya

 Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Petani Bangga bertani",2024-01-04 18:00:04+00:00,tw-1742969158411649207,"{""created_at"":""2022-12-31T17:07:20Z"",""frn_cnt"":1,""loc"":"""",""name"":""kuytueiei"",""scr_name"":""kuytueiei1"",""lst_cnt"":0,""id"":""1609234684734738432"",""username"":""kuytueiei1"",""sts_cnt"":325,""flw_cnt"":0,""image"":""https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png""}","{""quote_cnt"":0,""source"":null,""rt_cnt"":0,""reply_cnt"":0,""entities"":{""hashtags"":[]},""bookmark_cnt"":0,""fav_cnt"":0,""view_cnt"":1,""user"":{""image"":""https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"",""sts_cnt"":325,""flw_cnt"":0,""lst_cnt"":0,""username"":""kuytueiei1"",""id"":""1609234684734738432"",""created_at"":""2022-12-31T17:07:20Z"",""scr_name"":""kuytueiei1"",""name"":""kuytueiei"",""loc"":"""",""frn_cnt"":1},""url"":""https://twitter.com/kuytueiei1/status/1742969158411649207""}",0,,twit,id,ganjar,data-twit-ganjar.json,,,False,False,ð® Keakraban Ganjar Pranowo dengan keluarganya menciptakan atmosfer positif d kepemimpinannya Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Petani Bangga bertani,keakraban ganjar pranowo dengan keluarganya menciptakan atmosfer positif kepemimpinannya ganjar mahfud hebat l3bihbaik mahfudlebihbaik3 ganjarmahfud2024 petani bangga bertani,0,1,325,2022-12-31 17:07:20+00:00
DoddyRambing,Menangkan Ganjar Mahfud. Coblos No 3 di PILPRES 14 Febuari 2024.  ððððªð®ð©ð¤ð®ð©ð¤ð¤ https://t.co/WcdKzzFL0m,2024-01-04 18:00:05+00:00,tw-1742969162526495066,"{""lst_cnt"":0,""image"":""https://pbs.twimg.com/profile_images/1296258885519433728/qc2oBMmy_normal.jpg"",""frn_cnt"":944,""loc"":""DKI JAKARTA"",""scr_name"":""DoddyRambing"",""id"":""258865790"",""username"":""DoddyRambing"",""flw_cnt"":466,""name"":""Doddy F Rambing"",""sts_cnt"":1659,""created_at"":""2011-02-28T17:34:36Z""}","{""reply_cnt"":0,""fav_cnt"":1,""source"":null,""entities"":{""hashtags"":[]},""rt_cnt"":0,""user"":{""username"":""DoddyRambing"",""flw_cnt"":466,""name"":""Doddy F Rambing"",""sts_cnt"":1659,""created_at"":""2011-02-28T17:34:36Z"",""lst_cnt"":0,""image"":""https://pbs.twimg.com/profile_images/1296258885519433728/qc2oBMmy_normal.jpg"",""frn_cnt"":944,""loc"":""DKI JAKARTA"",""scr_name"":""DoddyRambing"",""id"":""258865790""},""url"":""https://twitter.com/DoddyRambing/status/1742969162526495066"",""quote_cnt"":0}",0,,twit,id,ganjar,data-twit-ganjar.json,,,False,False,Menangkan Ganjar Mahfud. Coblos No 3 di PILPRES 14 Febuari 2024. ððððªð®ð©ð¤ð®ð©ð¤ð¤,menangkan ganjar mahfud coblos pilpres febuari 2024,466,944,1659,2011-02-28 17:34:36+00:00
