Source,Target,Weight,Max_Weight,Edge_Count,Avg_Text_Similarity,Avg_Time_Score,Min_Time_Delta_Seconds,Edge_Types,Dominant_RT_Source,Query_Context,Example_Tweet_1,Example_Tweet_2
Delan_setiapano,Mahda_bana,0.7652763592810432,0.916115477523505,46,0.8379894598670627,0.6925632586950237,159.0,semantic,,prabowo,"Sambutan hangat Pendukung, Pak SBY Mas Ketum AHY dan Pak saat Prabowo Tiba di Peringatan 19 Tahun Tsunami Aceh. ]he PDemokrat AgusYudhoyono Demokrat Bersama Rakyat | Hadiri Konsolidasi Demokrat Sulsel, AHY Beri Instruksi Menangkan Prabowo-Gibran.. vxh AgusYudhoyono PDemokrat Demokrat Bersama Rakyat","AHY hadiri Peringatan 19 Tahun Tsunami Aceh yang dihadiri juga oleh Presiden RI Ke-6 Bapak SBY dan Menhan RI Bapak Prabowo di Aceh.. ylo AgusYudhoyono PDemokrat Demokrat Bersama... | Prabowo-SBY-AHY di Aceh, Kenang 19 Tahun Bencana Tsunami.. koi PDemokrat AgusYudhoyono Demokrat Bersama Rakyat"
Agustiadi_,Delan_setiapano,0.7563106671837919,0.9103880183686407,46,0.8379894598670627,0.6746318745005211,171.0,semantic,,prabowo,Pak SBY Turun Gunung Ke Aceh Bersama Mas AHY Dan Pak Prabowo.. ywd AgusYudhoyono PDemokrat Demokrat Bersama Rakyat | AHY hadiri Peringatan 19 Tahun Tsunami Aceh yang dihadiri juga oleh Presiden RI Ke-6 Bapak SBY dan Menhan RI Bapak Prabowo di Aceh.. ylo AgusYudhoyono PDemokrat Demokrat Bersama...,"Prabowo, SBY, AHY dan Muallem di Mesjid Raya Baiturrahman Banda Aceh ð. san AgusYudhoyono PDemokrat Demokrat Bersama Rakyat | Pak SBY Turun Gunung Ke Aceh Bersama Mas AHY Dan Pak Prabowo.. wxj PDemokrat AgusYudhoyono Demokrat Bersama Rakyat"
Agustiadi_,Mahda_bana,0.6508836701468714,0.7335658065115348,46,0.8379894598670627,0.46377788042668006,528.0,semantic,,prabowo,"Sambutan hangat Pendukung, Pak SBY Mas Ketum AHY dan Pak saat Prabowo Tiba di Peringatan 19 Tahun Tsunami Aceh. ]he PDemokrat AgusYudhoyono Demokrat Bersama Rakyat | Hadiri Konsolidasi Demokrat Sulsel, AHY Beri Instruksi Menangkan Prabowo-Gibran.. vxh AgusYudhoyono PDemokrat Demokrat Bersama Rakyat","Sambutan hangat Pendukung, Pak SBY Mas Ketum AHY dan Pak saat Prabowo Tiba di Peringatan 19 Tahun Tsunami Aceh. ]he PDemokrat AgusYudhoyono Demokrat Bersama Rakyat | Prabowo-SBY-AHY di Aceh, Kenang 19 Tahun Bencana Tsunami.. xqc PDemokrat AgusYudhoyono Demokrat Bersama Rakyat"
HalimWajib98317,wongkalibanteng,0.8085296961203555,0.8085296961203554,6,1.0,0.6170593922407107,418.0,retweet,kangdede78,ganjar | anies | prabowo,"Lembaga Survei Nasional (LSN) merilis survei elektabilitas tiga pasangan calon presiden dan calon wakil presiden pada Pemilu 2024. 1. Anies-Imin 24,3%. 2. Prabowo-Gibran 49,5%. ...","Lembaga Survei Nasional (LSN) merilis survei elektabilitas tiga pasangan calon presiden dan calon wakil presiden pada Pemilu 2024. 1. Anies-Imin 24,3%. 2. Prabowo-Gibran 49,5%. ..."
NegarakuApa,UnameOne,1.0,1.0,4,1.0,1.0,0.0,retweet,AzzrielAzaryahu,prabowo,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran
NegarakuApa,mehuli_ginting,0.9998557083444718,1.0,4,1.0,0.9997114166889436,0.0,retweet,AzzrielAzaryahu,prabowo,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran
RondangKomariah,SahrulAmzi,0.9998557083444718,1.0,4,1.0,0.9997114166889436,0.0,retweet,AzzrielAzaryahu,prabowo,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran
SahrulAmzi,mehuli_ginting,0.9998557083444718,1.0,4,1.0,0.9997114166889436,0.0,retweet,AzzrielAzaryahu,prabowo,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran
UnameOne,mehuli_ginting,0.9998557083444718,1.0,4,1.0,0.9997114166889436,0.0,retweet,AzzrielAzaryahu,prabowo,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran
NegarakuApa,SahrulAmzi,0.9997114166889436,1.0,4,1.0,0.9994228333778872,0.0,retweet,AzzrielAzaryahu,prabowo,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran,Pemuda Kabupaten Serang Deklarasi Dukung Prabowo-Gibran Jadi Presiden 2024 - #MenangSeputaran
