Source,Target,Weight,s_text,s_time,w_ij,delta_t_seconds,edge_type,rt_source,rt_source_id,tweet_i,tweet_j,query_i,query_j
KpellyD,go83996201vinay,0.8247129130078541,0.6517331600189209,0.9976926659967874,0.8247129130078541,2.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,ganjar,ganjar
KpellyD,kyrodave,0.8476647139433761,0.7113693952560425,0.9839600326307096,0.8476647139433761,14.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,Ganjar Pranowo berhasil menciptakan keceriaan di panggung politik Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Guru Ngaji satu juta,ganjar,ganjar
GururajgoudarP1,KpellyD,0.8108213363967447,0.6645834445953369,0.9570592281981525,0.8108213363967447,38.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,Terlalu banyak hal positif dari Ganjar Pranowo untuk diabaikan Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Guru Ngaji satu juta,ganjar,ganjar
Gangadh91779772,KpellyD,0.8250239181132936,0.7319671511650085,0.9180806850615786,0.8250239181132936,74.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,"Ganjar Pranowo, tidak hanya gubernur, tapi juga entertainer yang mampu membuat politik lebih dekat dengan hati warga Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahf...",ganjar,ganjar
GanpatK94645562,KpellyD,0.7834133075280527,0.6717804670333862,0.8950461480227192,0.7834133075280527,96.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,"Bersama Wong Cilik, Ganjar Pranowo Mahfud MD, wujudkan pemerintahan yang mampu mendengar aspirasi rakyat Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Guru ...",ganjar,ganjar
KpellyD,Leith_1st,0.80356114173447,0.7294789552688599,0.8776433282000802,0.80356114173447,113.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,"â Ganjar Pranowo, tidak hanya gubernur, tapi juga entertainer yang mampu membuat politik lebih dekat dengan hati warga Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #Ganjar...",ganjar,ganjar
GururajgoudarP1,KpellyD,0.771559395577522,0.6705292463302612,0.8725895448247826,0.771559395577522,118.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,Ganjar akan memberantas KKN dan Pungli demi kesejahteraan kaum Buruh di Indonesia GanjarMahfud2024 Lampung lampungÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfu...,ganjar,ganjar
KpellyD,Lourdes00357345,0.7201555566607152,0.657496988773346,0.7828141245480845,0.7201555566607152,212.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,"Ganjar Pranowo, perjalananmu dari rakyat biasa menjadi pemimpin adalah inspirasi Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 sikat KKN",ganjar,ganjar
HARISHR15790348,KpellyD,0.7107714926587427,0.6662616729736328,0.7552813123438527,0.7107714926587427,243.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,Fokus pada pencapaian positif Pak Ganjar Pranowo d memimpin Jawa Timur Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,ganjar,ganjar
KpellyD,h_mccomiskie,0.7433780632227405,0.7366908192634583,0.7500653071820227,0.7433780632227405,249.0,semantic,,,Ganjar Pranowo Idola RakyatÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,"Ganjar Pranowo, dengan keceriaannya, menghadirkan nuansa yang berbeda d politik, membuatnya lebih dekat dengan rakyat Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMah...",ganjar,ganjar
Gulasha31291179,go83996201vinay,0.8417937202047373,0.7007632255554199,0.9828242148540547,0.8417937202047373,15.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,ð¤Â Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Internet Gratis,ganjar,ganjar
GururajgoudarP1,go83996201vinay,0.8068780438036364,0.6544834971427917,0.959272590464481,0.8068780438036364,36.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,Terlalu banyak hal positif dari Ganjar Pranowo untuk diabaikan Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Guru Ngaji satu juta,ganjar,ganjar
GOKULKA13797771,go83996201vinay,0.8070191893123998,0.6580839157104492,0.9559544629143504,0.8070191893123998,39.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,Muhammad_SaewadÂ Â cakOWÂ Â mohmahfudmd 2024Â Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Lulus Pasti Kerja,ganjar,ganjar
Fasichaudh54868,go83996201vinay,0.8181466728596044,0.6825445890426636,0.9537487566765452,0.8181466728596044,41.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,arema7055:Â TeddGus mohmahfudmd Tetep nomor SATUÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Guru Ngaji satu juta,ganjar,ganjar
Harimoh08514963,go83996201vinay,0.8143966644158585,0.7327128052711487,0.8960805235605683,0.8143966644158585,95.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,AntonKu73047372 mohmahfudmd SiapÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Uang Saku Posyandu,ganjar,ganjar
GabbarG50774637,go83996201vinay,0.8277679340337409,0.7738284468650818,0.8817074212024002,0.8277679340337409,109.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,tatakujiyati all in gama aja sipalingganjar Â Â sipalingganjarÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Buruh Naik Kelas,ganjar,ganjar
Gulasha31291179,go83996201vinay,0.8758811416870488,0.8731046915054321,0.8786575918686654,0.8758811416870488,112.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,SAGACIREBON_ No Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Buruh Naik Kelas,ganjar,ganjar
Govardh92157239,go83996201vinay,0.7589792412634876,0.6809072494506836,0.8370512330762916,0.7589792412634876,154.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,Bukan tdk mau menyerang balik tapi waktunya sdh habisÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera,ganjar,ganjar
LorenaU88237897,go83996201vinay,0.7662153071881861,0.7040354609489441,0.828395153427428,0.7662153071881861,163.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,ð Â xquitavee Den Bokep Â Â Â Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 Petani Bangga bertani,ganjar,ganjar
go83996201vinay,harekrushnabhuy,0.7538730862213792,0.6898092031478882,0.8179369692948703,0.7538730862213792,174.0,semantic,,,Senyumin ajaÂ Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 KTP Sakti,"tempodotco mantap, semoga m3nang pak Â Â Â Ganjar Mahfud Hebat #L3bihbaik #MahfudLebihBaik3 #GanjarMahfud2024 NelayanÂ Sejahtera",ganjar,ganjar
